Date,Close
12/1/2021 16:00:00,1239.33
12/2/2021 16:00:00,1257.81
12/3/2021 16:00:00,1251.6
12/6/2021 16:00:00,1264.32
12/7/2021 16:00:00,1281.41
12/8/2021 16:00:00,1277.68
12/9/2021 16:00:00,1269.46
12/10/2021 16:00:00,1268.11
12/13/2021 16:00:00,1259
12/14/2021 16:00:00,1255.34
12/15/2021 16:00:00,1263.18
12/16/2021 16:00:00,1260.71
12/17/2021 16:00:00,1259.39
12/20/2021 16:00:00,1248.34
12/21/2021 16:00:00,1270.45
12/22/2021 16:00:00,1279.11
12/23/2021 16:00:00,1288.81
12/24/2021 13:00:00,1288.54
12/29/2021 16:00:00,1296.34
12/30/2021 16:00:00,1292.46
12/31/2021 16:00:00,1286.98
1/4/2022 16:00:00,1287.43
1/5/2022 16:00:00,1277.75
1/6/2022 16:00:00,1280.63
1/7/2022 16:00:00,1281.7
1/10/2022 16:00:00,1282.56
1/11/2022 16:00:00,1293.13
1/12/2022 16:00:00,1300.3
1/13/2022 16:00:00,1293.69
1/14/2022 16:00:00,1300.29
1/17/2022 16:00:00,1311.55